Blog	increase	here	marketers	successful	example	want	feature	types	effective	series	re	service	engagement	metrics	best	much	life	things	had	easy	possible	steps	right	old	people	creative	support	happy	offer	resources	team	love	working	following	data	years	course	didn	internet	million	future	say	take	pages	drive	ways	going	where	sites	many	being	around	traffic	world	power	industry	image	her	ad	am	having	consider	small	past	full	experience	action	via	company	learn	information	its	always	found	advertisers	really	research	number	guest	also	plan	sometimes	impact	set	see	seo	last	community	optimization	person	amp	readers	d	anything	into	link	us	influence	ago	results	send	account	video	let	great	makes	tools	next	customer	clients	process	high	doing	could	should	email	ve	site	off	adwords	less	web	five	become	does	study	work	provide	after	order	then	them	network	campaigns	created	another	target	keywords	analytics	away	com	comments	months	way	was	test	together	change	live	topic	write	product	still	now	year	looking	shows	yourself	than	form	online	only	between	article	comes	these	real	read	using	start	lot	trying	sales	building	month	very	instagram	advertising	ask	help	actually	beyond	event	since	reason	put	launch	selling	mobile	pretty	probably	both	add	look	while	guide	ready	used	step	within	doesn	e	youtube	go	facebook	button	click	products	links	including	keep	quality	need	based	importance	key	problem	well	page	twitter	companies	even	tips	ever	never	campaign	call	tell	give	before	personal	better	mean	reader	isn	features	keyword	mind	seen	don	m	bad	testing	said	appeared	three	website	make	opportunity	practices	just	yet	popular	down	landing	digital	did	useful	sharing	making	may	grow	talk	nbsp	interesting	tweets	thing	think	first	long	little	were	few	track	paid	especially	show	enough	reading	across	according	shopping	those	different	pay	same	money	audience	images	videos	again	important	infographic	search	two	strategies	share	needs	through	someone	hard	idea	done	part	b	build	most	services	businesses	blogging	vine	fans	point	simple	create	understand	spend	big	bit	often	back	per	single	started	others	profile	ll	day	taking	value	linkedin	thought	ads	success	brands	buy	brand	every	changed	changes	would	must	me	my	times	end	over	writing	each	got	free	days	already	top	too	tool	talking	though	watch	report	however	news	improve	conference	been	everything	efforts	why	check	no	roi	focus	posts	says	today	insights	platform	offers	name	place	revenue	copy	any	conversion	ideas	sure	visitors	come	engine	case	good	author	week	without	when	blog	update	everyone	there	websites	follow	program	list	rate	design	pinterest	version	allows	options	short	might	generation	feel	story	reach	his	user	recently	creating	attention	reasons	strategy	questions	customers	question	users	once	include	find	app	use	something	instead	choose	related	our	which	who	goals	he	conversions	available	stories	job	book	know	because	lead	getting	own	apps	made	whether	below	other	june
Vertical Measures	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
VentureBeat  Social	0	2	2	0	0	5	1	0	0	0	2	4	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	1	0	0	2	2	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	2	0	0	0	0	0	0	1	2	0	0	11	0	0	2	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	6	1	0	2	2	1	1	1	0	1	1	2	1	0	0	2	0	0	4	1	3	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	2	3	0	0	2	0	0	0	1	1	8	2	0	0	0	4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	8	2	0	1	2	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	2	0	2	3	14	0	1	0	0	0	0	0	0	2	0	0	0	2	2	8	2	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	3	0	0	0	0	0	0	1	0	0	3	0	2	0	0	2	0	2	2	1	2	1	0	0	0	0	1	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	1	1	0	4	0	0	0	2	1	0	0	2	0	3	0	0	0	4	0	1	0	0	0	0	3	1	0	2	1	0	0	0	0	0	1	1	0	0	0	6	1	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	3	0	5	1	0	0	0	1	3	0	0	0	0	0	4	0	2	0	1	0	2	5	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	1	0	1	2	0	0	1	1	1	0	0	2	0	0	1	1	4	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	4	0	0	0	7	1	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	3	2	5	1	1	0	0	0
Twitter Blog Feed	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	6	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Internet Marketing Ninjas Blog	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	5	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	3	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	4	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	5	3	0	0	0	0	0	0	1	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Matthew Woodward	2	1	0	0	0	0	0	0	0	1	1	0	1	0	4	0	0	0	0	0	2	0	6	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	5	1	0	0	0	0	1	0	0	0	10	0	0	1	2	1	0	2	0	0	1	1	2	0	0	0	0	0	0	1	2	0	10	0	0	0	5	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	9	2	0	10	2	0	0	0	0	0	0	0	4	2	0	2	0	0	0	1	1	0	2	0	2	0	13	2	2	1	0	0	0	12	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	5	0	0	2	0	0	0	0	0	0	2	0	1	0	0	2	4	1	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	2	0	4	10	0	0	2	0	0	0	1	0	0	0	0	4	0	0	0	12	0	0	0	0	0	2	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	10	0	4	1	0	1	0	0	1	1	0	0	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	14
AllTwitter	1	1	0	0	0	0	2	0	0	1	1	0	0	0	15	2	2	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	1	0	0	0	0	0	1	2	0	2	7	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	3	0	2	0	0	0	0	1	0	3	0	1	0	0	3	1	1	0	3	0	1	1	0	2	1	0	1	0	1	1	4	0	0	2	0	0	0	0	1	0	0	2	4	0	0	0	1	0	0	1	1	4	2	1	0	1	6	0	2	1	0	0	0	2	2	0	4	0	1	0	1	0	0	0	4	1	0	0	1	0	0	3	0	0	3	0	1	1	0	0	0	2	1	2	0	0	0	0	0	1	3	1	2	0	1	0	0	0	0	0	2	2	0	1	0	0	0	39	0	1	1	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	2	0	0	6	1	2	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	1	2	1	0	0	0	0	1	0	0	1	0	1	0	2	1	1	0	1	0	0	3	0	1	4	1	2	0	4	1	0	0	0	0	0	4	0	1	3	0	0	1	3	0	0	0	1	0	0	2	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	1	0	3	1	0	0	4	0	0	1	0	0	2	0	3	0	1	1	0	1	0	2	0	0	0	0	0	4	0	0	2	0	0	1	0	3	0	0	1	1	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	4	1	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	2	5	2	0	0	0	0	3	6	2	0	2	0	0	1	2	2	1	0	0	0	0	0	1	0	2	3	1
http://feeds.feedburner.com/listrak/EmailMarketing
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mari Smith | Relationship Marketing & Social Media Success	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	4	0	0	0	2	1	0	0	1	0	0	1	0	0	2	0	0	0	2	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	3	1	0	1	0	1	0	1	2	0	0	1	1	0	1	0	0	2	0	1	0	0	1	0	2	0	0	0	0	1	0	0	5	1	1	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	6	0	0	0	2	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	5	2	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	3	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	2	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	1	0	0	2	0	0	0	0	2	1	1	0	0	1	0	1	4	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	1	0	0	1	1	2	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Online Marketing Blog	1	0	6	1	0	0	0	1	0	0	1	1	1	0	4	1	0	2	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	4	0	0	6	3	2	0	0	0	0	1	0	2	1	7	0	0	0	4	1	1	0	0	1	0	0	0	2	3	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	5	0	3	1	1	0	1	0	0	1	0	2	1	1	1	0	0	5	0	0	0	1	1	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	11	1	0	1	3	2	1	1	1	4	0	0	2	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	2	1	0	1	0	0	2	2	0	0	0	1	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	1	0	8	1	1	2	0	0	0	1	1	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	2	0	2	0	0	5	0	1	2	0	1	1	1	0	0	0	1	2	0	1	1	1	4	0	1	0	0	0	0	0	3	0	1	0	0	1	1	2	0	1	2	2	0	3	0	0	0	0	1	0	0	1	1	0	13	1	4	0	2	2	4	0	1	0	2	0	1	2	1	2	1	0	0	0	0	0	2	3	0	0	0	2	1	0	3	0	5	2	0	0	0	1	0	2	0	0	8	0	0	0	0	2	0	1	0	0	0	1	0	2	1	8	0	0	4	0	2	3	0	2	1	3	1	0	4	0	0	3	0	1	0	0	0	0	0	1	0	0	0	3	3	0	1	0	3	3	0	0	5	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	2	2	1	1	0	0	3	1	0	0	0	4	1	2	1	0	0	0	2	1	0	2	1	1	1	0	0	0	1	0	0	0
Smashing Magazine Feed	1	35	0	1	17	27	8	5	1	9	44	7	1	1	19	31	3	17	27	14	16	7	17	8	23	5	6	6	3	3	5	8	10	17	15	6	12	12	8	0	5	12	25	18	2	8	12	8	1	36	22	9	2	13	1	4	25	2	0	5	8	6	10	2	7	21	7	3	5	7	23	19	17	5	0	18	5	12	1	52	22	7	3	22	24	0	10	2	0	5	4	4	29	10	41	14	27	5	3	8	23	2	4	29	18	16	14	19	2	11	27	22	5	30	21	64	52	0	9	0	16	34	12	8	10	8	63	8	23	6	43	77	2	1	22	25	5	0	6	8	3	1	7	44	61	8	11	8	4	3	20	53	19	35	9	14	5	5	41	19	5	46	13	28	3	58	5	11	32	27	16	6	10	5	5	20	0	1	16	24	3	8	2	2	17	10	32	3	29	14	5	19	39	25	28	5	6	46	8	4	14	8	1	23	4	6	7	4	4	12	10	6	69	24	2	19	16	33	100	50	4	19	1	2	11	0	7	11	16	34	2	12	3	0	8	12	0	5	5	35	23	2	4	4	3	15	96	44	3	3	43	11	6	21	23	0	11	8	4	7	13	0	7	20	6	66	8	15	62	10	9	27	21	3	1	5	17	8	3	10	6	0	26	31	5	19	4	6	33	1	7	37	0	2	22	1	16	10	17	1	10	18	12	28	3	19	48	3	1	1	0	1	15	35	44	15	4	12	9	24	19	1	17	11	14	4	67	21	4	14	0	5	1	1	0	4	3	24	5	10	42	5	39	113	4	17	24	20	42	7	20	1	11	7	11	12	8	5	1	0	16	14	3	1	28	14	0	16	5	23	0	4	20	5	12	2	3	4	69	9	1	6	37	0	30	18	12	24	1	17	25	2	1	34	62	23	16	5	34	9	6	1	50	4	110	0	6	5	18	6	11	2	12	7	6	18	46	6	15	8	6	4	16	6	6	8	23	17	12	11	73	12	11	4	7	71	54	19	1	20	0	8	9	3	9	34	51	3	6	26	5	11	10	12	34	0
Conversion Rate Experts	3	19	3	2	12	2	2	2	6	2	29	4	0	0	12	15	2	4	8	2	2	1	2	2	8	0	2	2	2	9	3	3	0	8	3	8	0	0	0	0	1	3	6	6	1	5	0	4	5	17	1	1	5	1	1	1	0	0	0	0	2	5	8	2	2	5	0	2	14	3	5	5	1	6	0	7	7	0	0	8	1	2	0	2	9	0	3	0	1	2	2	0	16	1	20	0	26	0	1	2	3	1	18	7	18	5	14	1	1	18	3	6	4	6	16	4	38	6	2	8	3	5	1	6	1	2	20	2	3	1	14	28	0	0	2	6	0	3	4	2	4	3	6	12	13	33	1	16	2	0	8	2	3	12	4	6	3	3	18	1	2	5	1	14	0	11	3	6	11	4	6	1	5	1	1	5	0	1	3	8	2	1	0	3	4	5	0	2	1	1	4	2	0	6	5	5	2	6	0	2	8	7	2	5	0	1	8	1	3	1	1	5	8	3	0	1	5	8	23	0	2	5	5	8	4	0	4	1	8	3	0	4	2	1	4	0	1	3	4	6	2	1	15	1	1	4	3	10	3	0	15	1	2	2	3	0	1	25	0	1	13	10	4	0	2	0	3	2	11	4	2	3	4	2	2	0	0	4	0	0	0	1	2	2	2	2	8	1	1	2	3	4	0	1	6	3	4	1	0	4	8	5	6	3	2	1	10	2	3	0	0	0	1	4	7	4	2	4	3	6	2	2	4	4	2	1	19	4	0	5	0	0	0	2	0	1	1	7	0	13	13	4	6	4	4	1	1	1	28	2	3	5	1	3	5	10	0	3	3	2	5	1	4	2	9	0	0	8	1	8	0	2	0	0	1	2	2	2	1	2	0	4	6	16	6	1	6	6	8	1	15	0	5	4	23	4	0	0	10	0	0	0	7	7	4	0	2	4	0	5	5	0	7	2	4	1	7	11	4	0	5	1	2	1	4	8	12	3	14	4	15	5	1	2	1	48	21	12	1	3	1	1	4	0	7	12	15	1	4	8	4	4	8	5	20	0
Deliverability.com	0	3	2	0	0	3	0	0	4	0	2	3	4	2	2	2	0	1	0	3	1	2	3	0	1	1	2	2	0	1	1	0	1	1	3	1	1	0	0	2	0	0	1	1	0	1	0	3	0	6	2	3	0	1	1	0	0	0	0	3	1	0	0	0	0	1	0	1	3	0	6	1	3	0	0	0	0	0	3	1	0	1	1	1	0	1	0	0	0	2	0	0	1	0	1	0	1	0	0	2	3	0	0	0	1	2	0	1	1	0	0	0	1	1	0	47	4	0	0	0	0	0	1	0	0	2	1	1	0	0	0	3	1	3	0	0	2	0	0	1	3	1	0	4	2	0	0	0	0	2	1	0	3	2	0	0	0	0	1	0	1	0	0	0	0	1	0	2	2	0	0	1	1	2	0	0	0	0	0	1	3	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	1	0	1	3	2	0	2	0	1	0	0	0	1	1	4	2	0	1	1	0	0	0	2	2	2	3	1	0	3	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	6	0	1	4	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	2	0	0	1	0	1	0	0	1	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	5	0	0	0	0	3	1	3	4	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	3	1	1	2	1	1	0	2	1	0	0	0	0	2	2	0	0	0	1	0	1	0	0	1	0	5	0	1	2	0	3	0	1	1	0	2	0	0	0	0	0	1	0	2	0	0	0	0	1	1	2	0	0	0	2	5	3	0	0	4	0	1	0	3	2	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	2	1	3	0	0	0	1	1	0	0	0	1	0	0	3	1	3	0	2	0	1	0	0	1	6	1	1	1	1	0	0	2	0	3	0
Brian Solis	0	0	0	0	0	0	0	0	0	1	0	4	4	0	2	0	0	2	2	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	1	5	7	2	1	0	0	1	0	2	0	3	0	2	0	1	0	0	0	0	0	1	0	1	4	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	2	2	0	0	2	1	2	0	1	1	0	0	0	0	0	0	2	3	1	0	0	2	0	1	0	0	2	0	0	1	5	0	0	0	3	0	1	1	2	0	0	0	0	0	0	4	0	0	0	1	0	0	2	3	1	0	0	1	0	0	1	1	0	0	0	4	5	0	0	2	2	1	1	0	0	2	0	0	1	0	3	0	1	2	1	1	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	3	0	3	2	0	1	0	3	2	0	0	1	3	0	0	0	1	0	1	0	3	0	0	2	1	1	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	2	2	0	0	2	2	0	0	1	4	0	0	2	0	9	0	0	0	3	0	5	0	0	3	0	1	1	1	0	0	0	0	3	2	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	4	1	4	2	1	1	0	0	0	1	0	2	1	2	0	0	0	1	1	2	3	0	1	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	3	0	1	1	1	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	1	0	1	2	0	1	0	1	0	0	0	1	1	1	2	1	1	1	1	1	1	2	1	0	0	0	1	0	2	3	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	0
